"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.0","4.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.0","4.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","106-43-4","p-Chlorotoluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","106-43-4","p-Chlorotoluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","106-43-4","p-Chlorotoluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","106-43-4","p-Chlorotoluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","106-46-7","p-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HRL","10","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","106-46-7","p-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HRL","10","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","106-46-7","p-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HRL","10","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","106-46-7","p-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HRL","10","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","106-93-4","1,2-Dibromoethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HRL","0.004","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","106-93-4","1,2-Dibromoethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HRL","0.004","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","106-93-4","1,2-Dibromoethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HRL","0.004","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","106-93-4","1,2-Dibromoethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HRL","0.004","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","4.0","HRL","30","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","4.0","HRL","30","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","4.0","HRL","30","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","4.0","HRL","30","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","1.0","HRL","1","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","1.0","HRL","1","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","1.0","HRL","1","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","1.0","HRL","1","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.5","5.0","HRL","300","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.5","5.0","HRL","300","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.5","5.0","HRL","300","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.5","5.0","HRL","300","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HBV","30","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HBV","30","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HBV","30","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HBV","30","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","","","","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HBV","70","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HBV","70","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HBV","70","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HBV","70","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.24","1.0","MCL","100","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.24","1.0","MCL","100","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.24","1.0","MCL","100","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.24","1.0","MCL","100","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","109-99-9","Tetrahydrofuran","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.9","10.0","HRL","600","ug/L","","Y","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","02-12-2014","Wtr-Ground","Water","02-14-2014","8260B","Volatile Organics by CGC/MS","109-99-9","Tetrahydrofuran","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.9","10.0","HRL","600","ug/L","","N","N","04-06-2023"
"SR0001403","33289096","Superfund","Arcade & Hawthorne Ave E","1000021972","Well","Well-Monitoring","44.978643","-93.065712","891.60435924","","31.3","11-25-2013","Wtr-Ground","Water","12-05-2013","8260B","Volatile Organics by CGC/MS","109-99-9","Tetrahydrofuran","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.9","10.0","HRL","600","ug/L","","N","N","04-06-2023"
